x indices        z indices
1.00013079663    0.00156955956924
0.997431087979    0.00227545423381
0.98935940466    0.00437204283652
0.975997975927    0.0077973764139
0.95748348954    0.0124524607011
0.934006445926    0.0182069631797
0.905810072713    0.0249059841409
0.873188674869    0.0323769501291
0.836485323851    0.0404357572921
0.796088840448    0.0488915249943
0.752430086762    0.0575496730958
0.705977637164    0.0662134425043
0.657232932675    0.0746843591618
0.606725030586    0.082762420355
0.555005042008    0.0902468998123
0.502640313008    0.0969385936363
0.450208364138    0.102644067038
0.398290574114    0.1071820521
0.347465588527    0.110391659033
0.298302459497    0.112141585264
0.251353573796    0.112339128607
0.207147493882    0.110937609755
0.166181901379    0.107940834652
0.128916877954    0.10340349118
0.0957687700498    0.0974268481988
0.0671048553262    0.0901497430096
0.0432389633035    0.0817355132229
0.00462229478903    0.0595374109601
-0.00737408264797    0.0314567010312
-0.00729938043057    0.0106787234178
0.0    0.0
0.0127774850623    -9.76345337627e-05
0.0292264819142    0.00627900558011
0.0443211889158    0.00840624898498
0.0432155790539    -0.001736417327
0.0668697408893    -0.0102129647335
0.0952142355752    -0.0176941491437
0.127938296569    -0.0240822618563
0.164687492262    -0.0293066213853
0.205067253826    -0.0333327190993
0.248646426204    -0.0361672536073
0.294960897427    -0.0378585833877
0.343517417098    -0.0384927925655
0.393797735069    -0.0381861701573
0.445263172594    -0.0370753566913
0.497359686992    -0.0353066491918
0.54952342126    -0.0330259486848
0.601186660232    -0.0303705970539
0.6517840617    -0.027463933217
0.700759005912    -0.0244128808741
0.747569913238    -0.0213083536514
0.791696411844    -0.0182278176816
0.832645282508    -0.0152390577276
0.869956150608    -0.0124040922843
0.903206921662    -0.00978228116429
0.932018957858    -0.00743193590022
0.956061968103    -0.00541012010306
0.975058540369    -0.00377073768062
0.988788196074    -0.00256137257115
0.997090807389    -0.00181959676515
0.999869203369    -0.00156955956924
